system.index,Approxim_1,Approximat,ID,Latitude,Location,Longitude,first,.geo,Date
4,2359.317,25395.68819,5,40.8773525,Marble Hill Park,-73.9082846,39.19803031,"{""type"":""Point"",""coordinates"":[-73.90828452605467,40.8773507814206]}",Jun-20
2,1578.27,16988.49828,3,40.8338766,John Mullaly Park (North),-73.9241049,40.31315933,"{""type"":""Point"",""coordinates"":[-73.9241054165923,40.83387454614952]}",Jun-20
3,1578.27,16988.49828,4,40.8332606,John Mullaly Park (South),-73.924454,39.56973998,"{""type"":""Point"",""coordinates"":[-73.92445322647445,40.83325919020414]}",Jun-20
56,9105.427,98010.81623,87,40.7027322,"Liberty Park (Detective Keith Williams) 01, 1",-73.7843169,44.38914818,"{""type"":""Point"",""coordinates"":[-73.78431705766782,40.702732384167675]}",Jun-20
0000000000000000004c,8012.776,86249.52086,77,40.7497156,Flushing Meadow Corona Park 3,-73.8398083,42.05350118,"{""type"":""Point"",""coordinates"":[-73.8398061111769,40.74971347286678]}",Jun-20
49,7850.901,84507.09836,74,40.6610053,Brookville Park,-73.7456896,39.49568288,"{""type"":""Point"",""coordinates"":[-73.74568786524182,40.661004116509524]}",Jun-20
12,6920.124,74488.21474,19,40.6113725,Dyker Beach Park 2 (Soccer),-74.0155603,38.6787761,"{""type"":""Point"",""coordinates"":[-74.01556157919846,40.61137432178467]}",Jun-20
58,11088.39,119355.43,89,40.7077796,"Mafera Park 01, 1, 3",-73.8909685,45.23681714,"{""type"":""Point"",""coordinates"":[-73.89096983666414,40.70778008656017]}",Jun-20
26,5220.445,56192.86998,39,40.7175718,Baruch Park,-73.9766762,40.83611639,"{""type"":""Point"",""coordinates"":[-73.97667821801242,40.71757227247354]}",Jun-20
48,5220.445,56192.86998,73,40.7498544,Al Oerter (FMCP 9),-73.8337053,48.86903306,"{""type"":""Point"",""coordinates"":[-73.83370606093578,40.749856164100486]}",Jun-20
0000000000000000005f,5220.445,56192.86998,96,40.5337911,Bloomingdale Park,-74.2088538,35.85777026,"{""type"":""Point"",""coordinates"":[-74.20885469166323,40.53379042255577]}",Jun-20
60,5220.445,56192.86998,97,40.5342141,Bloomingdale Park (2),-74.210295,35.33823122,"{""type"":""Point"",""coordinates"":[-74.2102949813035,40.53421403715584]}",Jun-20
33,2626.41,28270.67724,52,40.7298224,J.J. Walker Park,-74.0064167,40.08927902,"{""type"":""Point"",""coordinates"":[-74.00641596293785,40.72982142306735]}",Jun-20
23,9752.924,104980.4739,36,40.583251,William Grady HS (DOE),-73.9646893,42.58785164,"{""type"":""Point"",""coordinates"":[-73.96468769527971,40.583250771440596]}",Jun-20
0000000000000000002f,9752.924,104980.4739,48,40.7217324,East River Park Soccer Field,-73.9733863,40.67717846,"{""type"":""Point"",""coordinates"":[-73.97338740143498,40.7217326137564]}",Jun-20
16,7324.81,78844.25484,23,40.6592383,Linden (Gershwin) Park,-73.8874742,40.71135866,"{""type"":""Point"",""coordinates"":[-73.88747390143823,40.65923831249236]}",Jun-20
37,5463.256,58806.48758,56,40.7818426,Randalls Island 73,-73.9282785,39.21853843,"{""type"":""Point"",""coordinates"":[-73.92827913517831,40.78184129595685]}",Jun-20
0000000000000000003c,5463.256,58806.48758,61,40.7854744,Randalls Island 84,-73.9341897,45.55982003,"{""type"":""Point"",""coordinates"":[-73.93419190317519,40.785475463315414]}",Jun-20
0000000000000000003d,5463.256,58806.48758,62,40.7847757,Randalls Island 85,-73.9334432,46.7339099,"{""type"":""Point"",""coordinates"":[-73.93344277419823,40.78477538445003]}",Jun-20
0000000000000000003e,5463.256,58806.48758,63,40.7858394,Randalls Island 90,-73.9311479,43.7431424,"{""type"":""Point"",""coordinates"":[-73.93114633715568,40.7858411096018]}",Jun-20
0000000000000000003f,5463.256,58806.48758,64,40.7863476,Randalls Island 91,-73.9308053,44.67113483,"{""type"":""Point"",""coordinates"":[-73.93080744547562,40.786349447121886]}",Jun-20
9,2699.253,29054.75929,10,40.8444439,West Bronx Recreation Center (Highbridge),-73.9195091,41.66925877,"{""type"":""Point"",""coordinates"":[-73.91950808340619,40.84444261564618]}",Jun-20
0000000000000000000a,9064.958,97575.20791,11,40.8776371,Williamsbridge Oval,-73.8773577,39.49625255,"{""type"":""Point"",""coordinates"":[-73.87735620114796,40.877636163888035]}",Jun-20
19,5955.638,64106.48353,26,40.6521462,Parade Ground Field 4,-73.9670914,41.58637178,"{""type"":""Point"",""coordinates"":[-73.9670911507475,40.65214834181739]}",Jun-20
21,7689.03,82764.71892,34,40.7065263,Stemberg Park Fields 1 and 2,-73.9472551,42.78951482,"{""type"":""Point"",""coordinates"":[-73.94725706926178,40.706527079164154]}",Jun-20
0000000000000000001c,6070.28,65340.49392,29,40.6504178,Parade Ground Field 9,-73.9676554,45.27213668,"{""type"":""Point"",""coordinates"":[-73.96765745658129,40.65041821060864]}",Jun-20
43,1776.57,19122.99948,68,40.7184585,Sara D. Roosevelt Park (At Broome and Grand Station),-73.9932312,36.35851019,"{""type"":""Point"",""coordinates"":[-73.99323040112282,40.71845963358317]}",Jun-20
46,4411.074,47480.80054,71,40.7997961,Wagner Playground,-73.9348608,40.69085054,"{""type"":""Point"",""coordinates"":[-73.93486076833321,40.79979809589907]}",Jun-20
13,10886.04,117177.3346,20,40.6266311,Ft. Hamilton HS Athletic Field,-74.0373541,42.53999936,"{""type"":""Point"",""coordinates"":[-74.03735320604666,40.62662890648851]}",Jun-20
0000000000000000005e,5678.77,61126.28028,95,40.5926851,Blood Root Valley (Greenbelt),-74.1384622,35.05111754,"{""type"":""Point"",""coordinates"":[-74.13846332243354,40.59268622926969]}",Jun-20
0000000000000000003b,7446.216,80151.06902,60,40.7845498,Randalls Island 83,-73.9346431,44.83918748,"{""type"":""Point"",""coordinates"":[-73.93464227238158,40.784547970296295]}",Jun-20
29,1764.429,18992.31376,42,40.8575315,Buczek Ballfield (2),-73.9243313,35.33994023,"{""type"":""Point"",""coordinates"":[-73.92433283074602,40.85753007723804]}",Jun-20
0000000000000000001d,6515.439,70132.1854,30,40.650705,Parade Ground 10,-73.9669191,47.09166266,"{""type"":""Point"",""coordinates"":[-73.96691724580644,40.650703593076074]}",Jun-20
